Date,Stock,macro_gdp,macro_cpi,macro_csent,macro_candh,macro_retailsal,macro_indpro,macro_bondyd,macro_ppiaco,macro_DCOILBRENTEU,Debt to Equity Ratio,Return on Assets,TTM Net EPS,PE Ratio,FF-RmxRf,FF-SMB,FF-HML,FF-Rf,adjusted,sma3,sma13,sma20,ema14,rsi14,macd,signal,Social Media Sentiment,ret,ret1
3/1/2020,COST,18989.88,-0.22,89.10,-0.65,432392.00,97.87,0.87,193.10,1.89,2.01,0.08,8.36,35.39,-0.13,-0.05,-0.14,0.00,284.64,303.77,279.14,259.13,277.20,71.97,15.64,13.90,0.00,-0.04,0.03
4/1/2020,COST,17378.71,-0.67,71.80,-1.27,375918.00,84.96,0.66,185.50,1.89,2.01,0.08,8.36,35.39,0.14,0.02,-0.01,0.00,291.83,304.53,284.75,263.12,280.92,73.79,15.56,14.09,0.00,0.03,0.00
5/1/2020,COST,17378.71,0.00,72.30,0.94,442045.00,86.33,0.67,188.60,1.89,2.01,0.08,8.36,35.39,0.06,0.02,-0.05,0.00,292.15,302.52,289.38,266.54,284.10,73.56,15.46,14.27,0.00,0.00,-0.01
6/1/2020,COST,17378.71,0.55,78.10,0.47,472249.00,91.75,0.73,191.20,3.13,1.97,0.08,9.02,37.04,0.02,0.03,-0.02,0.00,290.32,304.27,293.86,270.35,286.61,72.18,14.94,14.48,-0.20,-0.01,0.07
7/1/2020,COST,18743.72,0.51,72.50,0.10,481169.00,95.24,0.62,193.00,3.13,1.97,0.08,9.02,37.04,0.06,-0.02,-0.01,0.00,309.44,310.16,298.76,274.98,291.43,77.02,14.30,14.63,-0.36,0.07,0.06
8/1/2020,COST,18743.72,0.32,74.10,0.01,482391.00,96.12,0.65,194.30,3.13,1.97,0.08,9.02,37.04,0.08,0.00,-0.03,0.00,327.37,322.16,303.73,281.44,298.02,80.35,14.05,14.76,0.00,0.06,0.01
9/1/2020,COST,18743.72,0.14,80.40,0.12,492700.00,96.07,0.68,195.50,2.62,2.93,0.08,9.74,38.73,-0.04,0.00,-0.03,0.00,331.60,336.27,308.95,288.21,304.31,81.07,13.60,14.79,0.00,0.01,0.07
10/1/2020,COST,18924.26,0.04,81.80,0.01,490826.00,96.83,0.79,196.50,2.62,2.93,0.08,9.74,38.73,-0.02,0.04,0.04,0.00,355.23,351.92,314.97,296.01,313.03,84.49,13.54,14.71,0.00,0.07,0.03
11/1/2020,COST,18924.26,-0.06,76.90,-0.08,486833.00,97.12,0.87,198.30,2.62,2.93,0.08,9.74,38.73,0.12,0.06,0.02,0.00,364.99,364.74,321.36,303.36,321.86,85.58,13.64,14.52,0.14,0.03,0.01
12/1/2020,COST,18924.26,0.09,80.70,-0.10,488876.00,98.14,0.93,200.50,2.14,2.41,0.08,9.78,33.50,0.05,0.05,-0.02,0.00,367.80,373.80,326.85,309.75,328.60,81.17,13.67,14.31,0.00,0.01,-0.02
